Latitude,Longitude,Tipo,Nome
-12.9978883,-38.4505445,place_of_worship,Igreja Seicho No Ie do Brasil
-12.9895764,-38.4732330,bank,Caixa Econômica Federal
-12.9889579,-38.4726100,clinic,INOOA
-12.9883381,-38.4674119,fuel,Hiperposto
-13.0054355,-38.4577925,restaurant,Restau Vila
-13.0046742,-38.4538681,fuel,Shell
-13.0067136,-38.4657388,restaurant,Manhattan
-12.9944726,-38.4639336,fast_food,Lanchonete Tudo de Bom
-12.9947462,-38.4645914,bar,BTQ 161
-12.9966767,-38.4642650,atm,Bradesco
-12.9962301,-38.4652886,atm,Itaú
-13.0083381,-38.4641641,pharmacy,Pague Menos
-13.0073315,-38.4627558,bank,Caixa Econômica Federal
-13.0076294,-38.4624855,bank,Banco Santander
-12.9862798,-38.4676129,bank,Santander
-13.0039917,-38.4588616,ice_cream,Sorvete Amaralina
-12.9932267,-38.4626414,fast_food,O rei da coxinha
-12.9937589,-38.4602171,cafe,Tortarelli
-12.9938739,-38.4601514,place_of_worship,Igreja Batista Regular da Pituba
-12.9944570,-38.4597070,police,Guarda Municipal
-12.9913793,-38.4606574,bar,Boteco do Caranguejo
-12.9915460,-38.4606339,pub,Bar Preto
-12.9877297,-38.4667036,bank,Santander
-12.9956364,-38.4712936,cinema,Cine Daten
-12.9990928,-38.4597096,restaurant,Cremonini
-12.9972799,-38.4636050,bicycle_rental,Estação BRT - Itaigara
-12.9991234,-38.4633117,restaurant,Spaggeti's Lilas
-13.0049181,-38.4572708,bank,Itaú
-13.0048534,-38.4570483,theatre,Teatro Jorge Amado
-13.0051638,-38.4564431,place_of_worship,Igreja de Nossa Senhora da Luz
-13.0061983,-38.4591124,restaurant,Bella Gourmet
-13.0063628,-38.4597403,restaurant,Gergelim
-12.9975205,-38.4517522,restaurant,Brisa Restaurante Natural
-13.0055116,-38.4624884,bicycle_parking,Faculdade Ruy Barbosa
-12.9964387,-38.4639138,bicycle_parking,Shopping Itaigara
-12.9977923,-38.4659740,place_of_worship,Igreja Batista Caminho das Árvores
-13.0001817,-38.4638047,school,Arca de Noé
-13.0011062,-38.4602934,school,Escola Lápis de Cor
-13.0002333,-38.4603309,school,Escola Colmeia
-13.0017029,-38.4627909,school,Escola Brincando e Construindo
-12.9990470,-38.4634496,school,Escola Alegre Mundo
-12.9876204,-38.4538436,restaurant,Armazem Pizzaria
-12.9877432,-38.4537663,fast_food,Subway
-12.9899720,-38.4542760,pharmacy,Drogaria São Paulo
-13.0010495,-38.4606492,restaurant,Empório do Pão
-13.0014237,-38.4608160,dojo,Academia Budokan
-12.9928137,-38.4512142,studio,On Top Produtora
-12.9926425,-38.4511736,restaurant,Tijela Restaurante e Lanchonete
-13.0027754,-38.4517684,bicycle_rental,Jardim dos Namorados
-13.0027702,-38.4552412,bicycle_rental,Praça Marconi
-13.0032935,-38.4526624,fast_food,Habib's
-13.0043783,-38.4545470,pharmacy,Drogasil
-12.9990560,-38.4604049,fast_food,Domino's
-13.0047412,-38.4547313,school,Análise Vestibular
-13.0052579,-38.4559308,restaurant,Gibão de Couro
-13.0041311,-38.4536990,restaurant,Buena Vida
-13.0046821,-38.4544591,bank,Banco do Nordeste
-13.0009601,-38.4638510,restaurant,Deli&Cake
-13.0032531,-38.4632369,fast_food,Subway
-13.0013556,-38.4607171,prep_school,Kumon
-12.9981957,-38.4648869,school,Colegio Batista Brasileiro
-12.9897218,-38.4602647,clinic,Centro Diagnóstico Albert Einstein
-13.0032757,-38.4531192,school,Colégio Bunny
